fight_link,date,location,method,round,time,time_format,referee,details,name_1,name_2,stage_name_1,stage_name_2,win_loss_1,win_loss_2,kd_1,kd_2,sig_str_1,sig_str_2,total_str_1,total_str_2,sig_str_landed_1,sig_str_attempted_1,total_str_landed_1,total_str_attempted_1,sig_str_landed_2,sig_str_attempted_2,total_str_landed_2,total_str_attempted_2,sig_str_accuracy_1,total_str_accuracy_1,sig_str_accuracy_2,total_str_accuracy_2,winner,fight_time_seconds,total_fight_time_seconds,outcome_category,fighter_1_won,fighter_2_won,sig_strike_diff,total_strike_diff,kd_1_jitter,kd_2_jitter,year,total_fight_time_minutes,country
http://ufcstats.com/fight-details/e4d946470fd150fe,2022-04-23,"Las Vegas, Nevada, USA",Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,,Preston Parsons,Evan Elder,"""Pressure""","""The Phenom""",W,L,0,0,75 of 112,27 of 60,121 of 160,34 of 67,75,112,121,160,27,60,34,67,0.6696428571428571,0.75625,0.45,0.5074626865671642,Preston Parsons,300,900,Decision,1,0,48,87,0.05815409142881256,0.04078788484863175,2022,15.0,USA
http://ufcstats.com/fight-details/7cf7960c6ccb5fa1,2022-04-23,"Las Vegas, Nevada, USA",DQ,1,3:52,3 Rnd (5-5-5),Chris Tognoni,Eye Poke by Barry,Dean Barry,Mike Jackson,"""The Sniper""","""The Truth""",L,W,1,0,36 of 90,18 of 37,39 of 93,18 of 37,36,90,39,93,18,37,18,37,0.4,0.4193548387096774,0.4864864864864865,0.4864864864864865,Mike Jackson,232,232,Disqualification,0,1,18,21,1.0413372030051318,-0.017183107367465904,2022,3.8666666666666667,USA
http://ufcstats.com/fight-details/926977ec3ed0ebe1,2022-04-23,"Las Vegas, Nevada, USA",KO/TKO,1,2:48,3 Rnd (5-5-5),Keith Peterson,Punches to Head From Back Control,Aoriqileng,Cameron Else,"""The Mongolian Murderer""","""Camchida""",W,L,1,0,37 of 64,6 of 12,49 of 85,7 of 13,37,64,49,85,6,12,7,13,0.578125,0.5764705882352941,0.5,0.5384615384615384,Aoriqileng,168,168,KO/TKO,1,0,31,42,1.0499485567729165,-0.05932027968362759,2022,2.8,USA
http://ufcstats.com/fight-details/6a4ba72b084193b5,2022-04-23,"Las Vegas, Nevada, USA",Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,,Marcin Prachnio,Philipe Lins,,"""Monstro""",L,W,0,0,74 of 117,64 of 110,116 of 159,96 of 142,74,117,116,159,64,110,96,142,0.6324786324786325,0.7295597484276729,0.5818181818181818,0.676056338028169,Philipe Lins,300,900,Decision,0,1,10,20,-0.01200232491282128,-0.01439801869335481,2022,15.0,USA
http://ufcstats.com/fight-details/e8c57c6259193466,2022-04-23,"Las Vegas, Nevada, USA",KO/TKO,1,4:55,3 Rnd (5-5-5),Mark Smith,Punches to Head On Ground,Tyson Pedro,Ike Villanueva,,"""Hurricane""",W,L,1,0,22 of 29,4 of 22,22 of 29,4 of 22,22,29,22,29,4,22,4,22,0.7586206896551724,0.7586206896551724,0.1818181818181818,0.1818181818181818,Tyson Pedro,295,295,KO/TKO,1,0,18,18,1.009035820861041,-0.02424038556790245,2022,4.916666666666667,USA
http://ufcstats.com/fight-details/c3b6aa47e7532a7b,2021-02-20,"Las Vegas, Nevada, USA",KO/TKO,2,4:32,3 Rnd (5-5-5),Chris Tognoni,Punches to Head From Mount,Serghei Spivac,Jared Vanderaa,"""Polar Bear""",,W,L,0,0,51 of 72,13 of 24,107 of 135,27 of 38,51,72,107,135,13,24,27,38,0.7083333333333334,0.7925925925925926,0.5416666666666666,0.7105263157894737,Serghei Spivac,272,572,KO/TKO,1,0,38,80,0.05542934911525517,0.0616440587390985,2021,9.533333333333333,USA
http://ufcstats.com/fight-details/bd2e14ee959f9b77,2023-07-01,"Las Vegas, Nevada, USA",Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Kerry Hatley,,Alexandr Romanov,Blagoy Ivanov,"""King Kong""","""Baga""",W,L,0,0,85 of 154,44 of 108,104 of 180,44 of 108,85,154,104,180,44,108,44,108,0.551948051948052,0.5777777777777777,0.4074074074074074,0.4074074074074074,Alexandr Romanov,300,900,Decision,1,0,41,60,-0.054810729194562535,-0.0038589967029582805,2023,15.0,USA
http://ufcstats.com/fight-details/dffc65202afb881d,2023-07-01,"Las Vegas, Nevada, USA",Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,,Ivana Petrovic,Luana Carolina,,"""Dread""",L,W,0,0,22 of 62,41 of 87,77 of 122,112 of 167,22,62,77,122,41,87,112,167,0.3548387096774194,0.6311475409836066,0.4712643678160919,0.6706586826347305,Luana Carolina,300,900,Decision,0,1,-19,-35,-0.08249856445414305,-0.012676146076132658,2023,15.0,USA
http://ufcstats.com/fight-details/454265014520a3f8,2023-07-01,"Las Vegas, Nevada, USA",KO/TKO,3,3:17,3 Rnd (5-5-5),Chris Tognoni,Punch to Head At Distance,Guram Kutateladze,Elves Brener,"""Georgian Viking""",,L,W,0,1,85 of 163,65 of 132,99 of 177,93 of 165,85,163,99,177,65,132,93,165,0.5214723926380368,0.559322033898305,0.4924242424242424,0.5636363636363636,Elves Brener,197,797,KO/TKO,0,1,20,6,0.05155883183045573,1.0017741230166277,2023,13.283333333333333,USA
http://ufcstats.com/fight-details/16a05f3c4a765f65,2019-05-04,"Ottawa, Ontario, Canada",Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Kevin MacDonald,,Mitch Gagnon,Cole Smith,,"""The Cole Train""",L,W,1,0,15 of 54,38 of 88,23 of 62,56 of 111,15,54,23,62,38,88,56,111,0.2777777777777778,0.3709677419354839,0.4318181818181818,0.5045045045045045,Cole Smith,300,900,Decision,0,1,-23,-33,0.906563663696868,0.006710810222834606,2019,15.0,Canada
http://ufcstats.com/fight-details/86deadaab9905a03,2020-08-15,"Las Vegas, Nevada, USA",Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,,Kai Kamaka,Tony Kelley,"""The Fighting Hawaiian""","""Primetime""",W,L,0,0,114 of 185,114 of 226,138 of 216,185 of 298,114,185,138,216,114,226,185,298,0.6162162162162163,0.6388888888888888,0.504424778761062,0.6208053691275168,Kai Kamaka,300,900,Decision,1,0,0,-47,0.054110784653821166,0.11272372749955056,2020,15.0,USA
