fight_link,date,location,method,round,time,time_format,referee,details,name_1,name_2,stage_name_1,stage_name_2,win_loss_1,win_loss_2,kd_1,kd_2,sig_str_1,sig_str_2,total_str_1,total_str_2
http://ufcstats.com/fight-details/e4d946470fd150fe,"April 23, 2022","Las Vegas, Nevada, USA",Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,,Preston Parsons,Evan Elder,"""Pressure""","""The Phenom""",W,L,0,0,75 of 112,27 of 60,121 of 160,34 of 67
http://ufcstats.com/fight-details/7cf7960c6ccb5fa1,"April 23, 2022","Las Vegas, Nevada, USA",DQ,1,3:52,3 Rnd (5-5-5),Chris Tognoni,Eye Poke by Barry,Dean Barry,Mike Jackson,"""The Sniper""","""The Truth""",L,W,1,0,36 of 90,18 of 37,39 of 93,18 of 37
http://ufcstats.com/fight-details/926977ec3ed0ebe1,"April 23, 2022","Las Vegas, Nevada, USA",KO/TKO,1,2:48,3 Rnd (5-5-5),Keith Peterson,Punches to Head From Back Control,Aoriqileng,Cameron Else,"""The Mongolian Murderer""","""Camchida""",W,L,1,0,37 of 64,6 of 12,49 of 85,7 of 13
http://ufcstats.com/fight-details/6a4ba72b084193b5,"April 23, 2022","Las Vegas, Nevada, USA",Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,,Marcin Prachnio,Philipe Lins,,"""Monstro""",L,W,0,0,74 of 117,64 of 110,116 of 159,96 of 142
http://ufcstats.com/fight-details/e8c57c6259193466,"April 23, 2022","Las Vegas, Nevada, USA",KO/TKO,1,4:55,3 Rnd (5-5-5),Mark Smith,Punches to Head On Ground,Tyson Pedro,Ike Villanueva,,"""Hurricane""",W,L,1,0,22 of 29,4 of 22,22 of 29,4 of 22
http://ufcstats.com/fight-details/c3b6aa47e7532a7b,"February 20, 2021","Las Vegas, Nevada, USA",KO/TKO,2,4:32,3 Rnd (5-5-5),Chris Tognoni,Punches to Head From Mount,Serghei Spivac,Jared Vanderaa,"""Polar Bear""",,W,L,0,0,51 of 72,13 of 24,107 of 135,27 of 38
http://ufcstats.com/fight-details/bd2e14ee959f9b77,"July 01, 2023","Las Vegas, Nevada, USA",Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Kerry Hatley,,Alexandr Romanov,Blagoy Ivanov,"""King Kong""","""Baga""",W,L,0,0,85 of 154,44 of 108,104 of 180,44 of 108
http://ufcstats.com/fight-details/dffc65202afb881d,"July 01, 2023","Las Vegas, Nevada, USA",Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,,Ivana Petrovic,Luana Carolina,,"""Dread""",L,W,0,0,22 of 62,41 of 87,77 of 122,112 of 167
http://ufcstats.com/fight-details/454265014520a3f8,"July 01, 2023","Las Vegas, Nevada, USA",KO/TKO,3,3:17,3 Rnd (5-5-5),Chris Tognoni,Punch to Head At Distance,Guram Kutateladze,Elves Brener,"""Georgian Viking""",,L,W,0,1,85 of 163,65 of 132,99 of 177,93 of 165
http://ufcstats.com/fight-details/16a05f3c4a765f65,"May 04, 2019","Ottawa, Ontario, Canada",Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Kevin MacDonald,,Mitch Gagnon,Cole Smith,,"""The Cole Train""",L,W,1,0,15 of 54,38 of 88,23 of 62,56 of 111
http://ufcstats.com/fight-details/86deadaab9905a03,"August 15, 2020","Las Vegas, Nevada, USA",Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,,Kai Kamaka,Tony Kelley,"""The Fighting Hawaiian""","""Primetime""",W,L,0,0,114 of 185,114 of 226,138 of 216,185 of 298
http://ufcstats.com/fight-details/1c6d3ef6beb9966e,"September 22, 2018","Sao Paulo, Sao Paulo, Brazil",KO/TKO,2,1:20,3 Rnd (5-5-5),Fernando Portella,Flying Knee Head,Elizeu Zaleski dos Santos,Luigi Vendramini,"""Capoeira""","""The Italian Stallion""",W,L,1,0,15 of 32,4 of 17,15 of 32,7 of 21
http://ufcstats.com/fight-details/397ace87deeb8697,"October 06, 2018","Las Vegas, Nevada, USA",KO/TKO,3,4:49,3 Rnd (5-5-5),Herb Dean,Punches to Head At Distance,Derrick Lewis,Alexander Volkov,"""The Black Beast""","""Drago""",W,L,1,0,39 of 70,121 of 171,40 of 71,133 of 183
http://ufcstats.com/fight-details/37ff18106c6e38fc,"September 22, 2018","Sao Paulo, Sao Paulo, Brazil",Submission,1,1:21,3 Rnd (5-5-5),Camila Albuquerque,Guillotine Choke From Mount,Livinha Souza,Alex Chambers,"""The Brazilian Gangsta""","""Astro Girl""",W,L,0,0,10 of 18,4 of 9,10 of 18,4 of 9
http://ufcstats.com/fight-details/c5479f20e4db357d,"September 22, 2018","Sao Paulo, Sao Paulo, Brazil",Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jerin Valel,,Thales Leites,Hector Lombard,,,W,L,0,0,54 of 117,46 of 80,60 of 123,62 of 98
http://ufcstats.com/fight-details/53efc226c8eaf768,"July 25, 2015","Chicago, Illinois, USA",Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,,Jessamyn Duke,Elizabeth Phillips,"""The Gun""",,L,W,0,0,36 of 80,49 of 101,54 of 99,83 of 140
http://ufcstats.com/fight-details/c1bfbf5447f21f37,"July 25, 2015","Chicago, Illinois, USA",KO/TKO,1,0:43,3 Rnd (5-5-5),Otto Torriero,Punches to Head At Distance,Zak Cummings,Dominique Steele,,"""Non-Stop Action-Packed""",W,L,1,0,14 of 30,2 of 2,16 of 33,2 of 2
