fight_link,date,location,name_1,name_2,stage_name_1,stage_name_2,win_loss_1,win_loss_2,division,method,last_round,referee,stoppage_details,kd_1,kd_2,sig_str_perc_1,sig_str_perc_2,td_pct_1,td_pct_2,sub_att_1,sub_att_2,rev_1,rev_2,r1_kd_1,r1_kd_2,r1_sig_str_perc_1,r1_sig_str_perc_2,r1_td_pct_1,r1_td_pct_2,r1_sub_att_1,r1_sub_att_2,r1_rev_1,r1_rev_2,r2_kd_1,r2_kd_2,r2_sig_str_perc_1,r2_sig_str_perc_2,r2_td_pct_1,r2_td_pct_2,r2_sub_att_1,r2_sub_att_2,r2_rev_1,r2_rev_2,r3_kd_1,r3_kd_2,r3_sig_str_perc_1,r3_sig_str_perc_2,r3_td_pct_1,r3_td_pct_2,r3_sub_att_1,r3_sub_att_2,r3_rev_1,r3_rev_2,r4_kd_1,r4_kd_2,r4_sig_str_perc_1,r4_sig_str_perc_2,r4_td_pct_1,r4_td_pct_2,r4_sub_att_1,r4_sub_att_2,r4_rev_1,r4_rev_2,r5_kd_1,r5_kd_2,r5_sig_str_perc_1,r5_sig_str_perc_2,r5_td_pct_1,r5_td_pct_2,r5_sub_att_1,r5_sub_att_2,r5_rev_1,r5_rev_2,time_format_rounds,sig_str_landed_1,sig_str_attempted_1,sig_str_landed_2,sig_str_attempted_2,total_str_landed_1,total_str_attempted_1,total_str_landed_2,total_str_attempted_2,td_landed_1,td_attempted_1,td_landed_2,td_attempted_2,sig_str_head_landed_1,sig_str_head_attempted_1,sig_str_head_landed_2,sig_str_head_attempted_2,sig_str_body_landed_1,sig_str_body_attempted_1,sig_str_body_landed_2,sig_str_body_attempted_2,sig_str_leg_landed_1,sig_str_leg_attempted_1,sig_str_leg_landed_2,sig_str_leg_attempted_2,sig_str_dist_landed_1,sig_str_dist_attempted_1,sig_str_dist_landed_2,sig_str_dist_attempted_2,sig_str_clinch_landed_1,sig_str_clinch_attempted_1,sig_str_clinch_landed_2,sig_str_clinch_attempted_2,sig_str_ground_landed_1,sig_str_ground_attempted_1,sig_str_ground_landed_2,sig_str_ground_attempted_2,r1_sig_str_landed_1,r1_sig_str_attempted_1,r1_sig_str_landed_2,r1_sig_str_attempted_2,r1_total_str_landed_1,r1_total_str_attempted_1,r1_total_str_landed_2,r1_total_str_attempted_2,r1_td_landed_1,r1_td_attempted_1,r1_td_landed_2,r1_td_attempted_2,r1_sig_str_head_landed_1,r1_sig_str_head_attempted_1,r1_sig_str_head_landed_2,r1_sig_str_head_attempted_2,r1_sig_str_body_landed_1,r1_sig_str_body_attempted_1,r1_sig_str_body_landed_2,r1_sig_str_body_attempted_2,r1_sig_str_leg_landed_1,r1_sig_str_leg_attempted_1,r1_sig_str_leg_landed_2,r1_sig_str_leg_attempted_2,r1_sig_str_dist_landed_1,r1_sig_str_dist_attempted_1,r1_sig_str_dist_landed_2,r1_sig_str_dist_attempted_2,r1_sig_str_clinch_landed_1,r1_sig_str_clinch_attempted_1,r1_sig_str_clinch_landed_2,r1_sig_str_clinch_attempted_2,r1_sig_str_ground_landed_1,r1_sig_str_ground_attempted_1,r1_sig_str_ground_landed_2,r1_sig_str_ground_attempted_2,r2_sig_str_landed_1,r2_sig_str_attempted_1,r2_sig_str_landed_2,r2_sig_str_attempted_2,r2_total_str_landed_1,r2_total_str_attempted_1,r2_total_str_landed_2,r2_total_str_attempted_2,r2_td_landed_1,r2_td_attempted_1,r2_td_landed_2,r2_td_attempted_2,r2_sig_str_head_landed_1,r2_sig_str_head_attempted_1,r2_sig_str_head_landed_2,r2_sig_str_head_attempted_2,r2_sig_str_body_landed_1,r2_sig_str_body_attempted_1,r2_sig_str_body_landed_2,r2_sig_str_body_attempted_2,r2_sig_str_leg_landed_1,r2_sig_str_leg_attempted_1,r2_sig_str_leg_landed_2,r2_sig_str_leg_attempted_2,r2_sig_str_dist_landed_1,r2_sig_str_dist_attempted_1,r2_sig_str_dist_landed_2,r2_sig_str_dist_attempted_2,r2_sig_str_clinch_landed_1,r2_sig_str_clinch_attempted_1,r2_sig_str_clinch_landed_2,r2_sig_str_clinch_attempted_2,r2_sig_str_ground_landed_1,r2_sig_str_ground_attempted_1,r2_sig_str_ground_landed_2,r2_sig_str_ground_attempted_2,r3_sig_str_landed_1,r3_sig_str_attempted_1,r3_sig_str_landed_2,r3_sig_str_attempted_2,r3_total_str_landed_1,r3_total_str_attempted_1,r3_total_str_landed_2,r3_total_str_attempted_2,r3_td_landed_1,r3_td_attempted_1,r3_td_landed_2,r3_td_attempted_2,r3_sig_str_head_landed_1,r3_sig_str_head_attempted_1,r3_sig_str_head_landed_2,r3_sig_str_head_attempted_2,r3_sig_str_body_landed_1,r3_sig_str_body_attempted_1,r3_sig_str_body_landed_2,r3_sig_str_body_attempted_2,r3_sig_str_leg_landed_1,r3_sig_str_leg_attempted_1,r3_sig_str_leg_landed_2,r3_sig_str_leg_attempted_2,r3_sig_str_dist_landed_1,r3_sig_str_dist_attempted_1,r3_sig_str_dist_landed_2,r3_sig_str_dist_attempted_2,r3_sig_str_clinch_landed_1,r3_sig_str_clinch_attempted_1,r3_sig_str_clinch_landed_2,r3_sig_str_clinch_attempted_2,r3_sig_str_ground_landed_1,r3_sig_str_ground_attempted_1,r3_sig_str_ground_landed_2,r3_sig_str_ground_attempted_2,r4_sig_str_landed_1,r4_sig_str_attempted_1,r4_sig_str_landed_2,r4_sig_str_attempted_2,r4_total_str_landed_1,r4_total_str_attempted_1,r4_total_str_landed_2,r4_total_str_attempted_2,r4_td_landed_1,r4_td_attempted_1,r4_td_landed_2,r4_td_attempted_2,r4_sig_str_head_landed_1,r4_sig_str_head_attempted_1,r4_sig_str_head_landed_2,r4_sig_str_head_attempted_2,r4_sig_str_body_landed_1,r4_sig_str_body_attempted_1,r4_sig_str_body_landed_2,r4_sig_str_body_attempted_2,r4_sig_str_leg_landed_1,r4_sig_str_leg_attempted_1,r4_sig_str_leg_landed_2,r4_sig_str_leg_attempted_2,r4_sig_str_dist_landed_1,r4_sig_str_dist_attempted_1,r4_sig_str_dist_landed_2,r4_sig_str_dist_attempted_2,r4_sig_str_clinch_landed_1,r4_sig_str_clinch_attempted_1,r4_sig_str_clinch_landed_2,r4_sig_str_clinch_attempted_2,r4_sig_str_ground_landed_1,r4_sig_str_ground_attempted_1,r4_sig_str_ground_landed_2,r4_sig_str_ground_attempted_2,r5_sig_str_landed_1,r5_sig_str_attempted_1,r5_sig_str_landed_2,r5_sig_str_attempted_2,r5_total_str_landed_1,r5_total_str_attempted_1,r5_total_str_landed_2,r5_total_str_attempted_2,r5_td_landed_1,r5_td_attempted_1,r5_td_landed_2,r5_td_attempted_2,r5_sig_str_head_landed_1,r5_sig_str_head_attempted_1,r5_sig_str_head_landed_2,r5_sig_str_head_attempted_2,r5_sig_str_body_landed_1,r5_sig_str_body_attempted_1,r5_sig_str_body_landed_2,r5_sig_str_body_attempted_2,r5_sig_str_leg_landed_1,r5_sig_str_leg_attempted_1,r5_sig_str_leg_landed_2,r5_sig_str_leg_attempted_2,r5_sig_str_dist_landed_1,r5_sig_str_dist_attempted_1,r5_sig_str_dist_landed_2,r5_sig_str_dist_attempted_2,r5_sig_str_clinch_landed_1,r5_sig_str_clinch_attempted_1,r5_sig_str_clinch_landed_2,r5_sig_str_clinch_attempted_2,r5_sig_str_ground_landed_1,r5_sig_str_ground_attempted_1,r5_sig_str_ground_landed_2,r5_sig_str_ground_attempted_2,ctrl_1_seconds,ctrl_2_seconds,last_round_time_seconds,r1_ctrl_1_seconds,r1_ctrl_2_seconds,r2_ctrl_1_seconds,r2_ctrl_2_seconds,r3_ctrl_1_seconds,r3_ctrl_2_seconds,r4_ctrl_1_seconds,r4_ctrl_2_seconds,r5_ctrl_1_seconds,r5_ctrl_2_seconds,total_fight_time_seconds
http://ufcstats.com/fight-details/61d9eff5fa4c8578,2021-10-23,"Las Vegas, Nevada, USA",Livinha Souza,Randa Markos,"""The Brazilian Gangsta""","""Quiet Storm""",L,W,Women's Strawweight Bout,Decision - Unanimous,3.0,Jason Herzog,,0.0,0.0,0.4,0.67,0.5,,2.0,0.0,0.0,2.0,0.0,0.0,0.42,0.58,0.33,,2.0,0.0,0.0,0.0,0.0,0.0,0.5,0.75,0.5,,0.0,0.0,0.0,1.0,0.0,0.0,0.37,0.72,1.0,,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,3.0,11,27,65,96,51,71,159,207,3,6,0,0,7,23,55,85,3,3,7,8,1,1,3,3,6,20,29,55,3,5,20,25,2,2,16,16,3,7,21,36,24,29,40,61,1,3,0,0,1,5,15,29,2,2,4,5,0,0,2,2,1,4,9,23,2,3,12,13,0,0,0,0,2,4,12,16,17,21,50,62,1,2,0,0,1,3,10,14,1,1,2,2,0,0,0,0,0,2,1,5,1,1,2,2,1,1,9,9,6,16,32,44,10,21,69,84,1,1,0,0,5,15,30,42,0,0,1,1,1,1,1,1,5,14,19,27,0,1,6,10,1,1,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.0,527.0,300.0,103.0,130.0,91.0,180.0,17.0,217.0,,,,,900.0
http://ufcstats.com/fight-details/acec5f4c6fee1ae2,2021-10-23,"Las Vegas, Nevada, USA",Jeff Molina,Daniel Lacerda,"""El Jefe""","""Miojo""",W,L,Flyweight Bout,KO/TKO,2.0,Keith Peterson,Punches to Head From Back Control,1.0,0.0,0.75,0.8,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.81,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.77,0.66,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,47,62,20,25,106,131,31,37,0,0,0,2,39,54,7,11,6,6,7,8,2,2,6,6,9,13,14,16,0,0,0,1,38,49,6,8,30,40,18,22,66,80,29,34,0,0,0,2,26,36,7,11,3,3,7,7,1,1,4,4,3,6,12,13,0,0,0,1,27,34,6,8,17,22,2,3,40,51,2,3,0,0,0,0,13,18,0,0,3,3,0,1,1,1,2,2,6,7,2,3,0,0,0,0,11,15,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.0,55.0,46.0,180.0,55.0,26.0,0.0,,,,,,,346.0
http://ufcstats.com/fight-details/7151ae256e6c181b,2021-10-23,"Las Vegas, Nevada, USA",Jonathan Martinez,Zviad Lazishvili,"""Dragon""",,W,L,Bantamweight Bout,Decision - Unanimous,3.0,Chris Tognoni,,0.0,0.0,0.48,0.39,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.41,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.42,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.33,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,3.0,92,188,63,160,94,191,66,163,0,0,0,6,65,154,25,115,14,19,17,22,13,15,21,23,92,188,60,153,0,0,3,7,0,0,0,0,23,46,19,46,25,49,22,49,0,0,0,4,11,32,7,31,6,7,3,5,6,7,9,10,23,46,18,43,0,0,1,3,0,0,0,0,29,61,27,63,29,61,27,63,0,0,0,1,21,49,11,45,6,9,8,9,2,3,8,9,29,61,25,59,0,0,2,4,0,0,0,0,40,81,17,51,40,81,17,51,0,0,0,1,33,73,7,39,2,3,6,8,5,5,4,4,40,81,17,51,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,90.0,300.0,0.0,90.0,0.0,0.0,0.0,0.0,,,,,900.0
http://ufcstats.com/fight-details/6d7eecf4acecda2a,2021-10-23,"Las Vegas, Nevada, USA",Khama Worthy,Jai Herbert,"""The Death Star""","""Black Country Banger""",L,W,Lightweight Bout,KO/TKO,1.0,Chris Tognoni,Punches to Head On Ground,0.0,1.0,0.52,0.52,,,0.0,0.0,0.0,0.0,0.0,1.0,0.52,0.52,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,11,21,24,46,11,21,25,47,0,0,0,0,5,13,21,40,1,1,1,1,5,7,2,5,11,21,19,39,0,0,2,2,0,0,3,5,11,21,24,46,11,21,25,47,0,0,0,0,5,13,21,40,1,1,1,1,5,7,2,5,11,21,19,39,0,0,2,2,0,0,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.0,167.0,0.0,5.0,,,,,,,,,167.0
http://ufcstats.com/fight-details/0328754c15ecd37c,2018-02-24,"Orlando, Florida, USA",Albert Morales,Manny Bermudez,"""The Warrior""","""The Bermudez Triangle""",L,W,Bantamweight Bout,Submission,2.0,Andrew Glenn,Guillotine Choke After Drop to Ground,0.0,0.0,0.35,0.42,1.0,0.2,0.0,3.0,1.0,2.0,0.0,0.0,0.44,0.5,1.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,0.3,0.4,,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,19,54,12,28,30,66,27,43,1,1,1,5,16,50,12,28,1,2,0,0,2,2,0,0,12,43,6,19,0,0,0,0,7,11,6,9,8,18,4,8,19,30,13,17,1,1,1,1,7,17,4,8,0,0,0,0,1,1,0,0,2,9,1,3,0,0,0,0,6,9,3,5,11,36,8,20,11,36,14,26,0,0,0,4,9,33,8,20,1,2,0,0,1,1,0,0,10,34,5,16,0,0,0,0,1,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.0,116.0,153.0,163.0,112.0,57.0,4.0,,,,,,,453.0
http://ufcstats.com/fight-details/8081cb92f71401c6,2021-11-06,"New York City, New York, USA",CJ Vergara,Ode Osbourne,,"""The Jamaican Sensation""",L,W,Flyweight Bout,Decision - Unanimous,3.0,Mike Beltran,,0.0,0.0,0.56,0.4,,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.45,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.36,,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.39,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,3.0,93,165,79,194,122,197,89,208,0,0,1,7,35,99,61,168,51,59,15,23,7,7,3,3,68,129,77,191,16,22,2,3,9,14,0,0,24,52,34,75,24,52,34,75,0,0,0,1,10,35,23,62,10,13,9,11,4,4,2,2,22,49,34,75,2,3,0,0,0,0,0,0,28,48,26,71,28,48,31,78,0,0,1,3,11,30,21,63,14,15,4,7,3,3,1,1,28,46,25,69,0,2,1,2,0,0,0,0,41,65,19,48,70,97,24,55,0,0,0,3,14,34,17,43,27,31,2,5,0,0,0,0,18,34,18,47,14,17,1,1,9,14,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.0,26.0,300.0,1.0,8.0,0.0,17.0,160.0,1.0,,,,,900.0
http://ufcstats.com/fight-details/73d541adc2909dc8,2021-11-06,"New York City, New York, USA",Melsik Baghdasaryan,Bruno Souza,"""The Gun""","""The Tiger""",W,L,Featherweight Bout,Decision - Unanimous,3.0,Todd Ronald Anderson,,0.0,0.0,0.6,0.44,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.45,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.43,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.45,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,3.0,75,124,46,103,77,126,47,104,0,0,0,4,26,63,27,70,25,32,13,24,24,29,6,9,68,117,41,96,7,7,5,7,0,0,0,0,21,36,11,24,23,38,12,25,0,0,0,1,4,14,5,14,8,10,5,8,9,12,1,2,18,33,10,23,3,3,1,1,0,0,0,0,31,43,16,37,31,43,16,37,0,0,0,1,13,21,12,27,8,11,2,6,10,11,2,4,29,41,14,35,2,2,2,2,0,0,0,0,23,45,19,42,23,45,19,42,0,0,0,2,9,28,10,29,9,11,6,10,5,6,3,3,21,43,17,38,2,2,2,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,45.0,300.0,5.0,40.0,5.0,0.0,0.0,5.0,,,,,900.0
http://ufcstats.com/fight-details/0f2611c3ec4661dd,2018-02-24,"Orlando, Florida, USA",Eric Shelton,Alex Perez,"""Showtime""",,L,W,Flyweight Bout,Decision - Unanimous,3.0,Jorge Alonso,,0.0,0.0,0.37,0.35,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.33,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.27,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.47,,0.5,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,3.0,41,109,29,82,72,140,67,123,0,2,5,9,30,98,15,64,9,9,3,6,2,2,11,12,31,98,24,73,1,2,1,4,9,9,4,5,18,40,13,39,23,45,29,56,0,1,1,1,14,36,7,31,3,3,0,2,1,1,6,6,15,37,12,37,1,1,0,0,2,2,1,2,10,22,6,22,25,37,22,39,0,1,1,2,5,17,4,18,5,5,1,2,0,0,1,2,5,17,4,20,0,0,0,0,5,5,2,2,13,47,10,21,24,58,16,28,0,0,3,6,11,45,4,15,1,1,2,2,1,1,4,4,11,44,8,16,0,1,1,4,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,418.0,300.0,0.0,90.0,2.0,203.0,0.0,125.0,,,,,900.0
http://ufcstats.com/fight-details/88cc78d2d5d6bcaa,2021-11-06,"New York City, New York, USA",Dustin Jacoby,John Allan,"""The Hanyak""",,W,L,Light Heavyweight Bout,Decision - Unanimous,3.0,Marc Goddard,,0.0,0.0,0.47,0.4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.44,,,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.36,,,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.41,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,3.0,153,321,77,189,153,321,78,190,0,0,0,0,110,270,43,149,21,28,11,14,22,23,23,26,152,319,76,184,1,2,1,5,0,0,0,0,48,105,25,56,48,105,25,56,0,0,0,0,29,85,10,38,9,10,6,7,10,10,9,11,48,105,25,56,0,0,0,0,0,0,0,0,57,119,25,68,57,119,26,69,0,0,0,0,43,103,13,54,9,11,3,4,5,5,9,10,56,118,24,66,1,1,1,2,0,0,0,0,48,97,27,65,48,97,27,65,0,0,0,0,38,82,20,57,3,7,2,3,7,8,5,5,48,96,27,62,0,1,0,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,900.0
http://ufcstats.com/fight-details/eedc7fccf7037949,2024-09-28,"Paris, Ile-de-France, France",Bolaji Oki,Chris Duncan,"""The Zulu Warrior""","""The Problem""",L,W,Lightweight Bout,Submission,1.0,Loic Pora,Guillotine Choke From Guard,0.0,0.0,0.56,0.4,0.66,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.56,0.4,0.66,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,28,50,10,25,29,51,12,29,2,3,0,1,25,47,7,18,3,3,1,1,0,0,2,6,21,39,10,25,6,8,0,0,1,3,0,0,28,50,10,25,29,51,12,29,2,3,0,1,25,47,7,18,3,3,1,1,0,0,2,6,21,39,10,25,6,8,0,0,1,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0,0.0,214.0,71.0,0.0,,,,,,,,,214.0
